City,Month,Avg_Temp_C,Precipitation_mm,AQI,UV_Index,Humidity_Pct,Sunshine_Hours,Continent
Amsterdam,Nov,13.3,53.1,61.0,4.2,61.0,4.0,Europe
Amsterdam,Dec,8.5,93.7,57.0,4.3,43.0,2.4,Europe
Madrid,Jan,3.4,56.1,110.0,2.8,36.0,3.4,Europe
Madrid,Feb,6.8,21.2,108.0,3.8,58.0,2.6,Europe
Madrid,Mar,7.3,36.5,87.0,4.5,45.0,3.4,Europe
Madrid,Apr,10.6,80.5,120.0,5.5,58.0,5.4,Europe
Madrid,May,16.4,62.3,108.0,6.7,40.0,7.2,Europe
Madrid,Jun,19.9,37.1,98.0,7.2,52.0,8.5,Europe
Madrid,Jul,23.2,36.4,77.0,7.2,64.0,7.8,Europe
Madrid,Aug,20.8,19.8,108.0,6.6,76.0,9.2,Europe
Madrid,Sep,14.5,43.5,110.0,6.3,54.0,6.5,Europe
Madrid,Oct,8.8,59.6,87.0,5.6,72.0,4.0,Europe
Madrid,Nov,8.9,51.6,93.0,5.4,59.0,4.0,Europe
Madrid,Dec,6.2,50.1,88.0,3.5,45.0,4.8,Europe
Rome,Jan,10.3,74.5,70.0,3.3,52.0,1.9,Europe
Rome,Feb,10.0,62.6,29.0,3.9,45.0,2.5,Europe
Rome,Mar,16.9,71.0,57.0,5.5,61.0,3.8,Europe
Rome,Apr,17.3,121.7,45.0,6.1,44.0,5.4,Europe
Rome,May,19.0,47.5,57.0,7.0,66.0,5.5,Europe
Rome,Jun,23.4,38.7,43.0,6.8,51.0,9.5,Europe
Rome,Jul,25.1,18.7,53.0,7.5,80.0,6.7,Europe
Rome,Aug,20.5,116.1,68.0,6.4,61.0,5.5,Europe
Rome,Sep,20.4,69.8,76.0,6.0,56.0,5.8,Europe
Rome,Oct,16.8,33.1,56.0,5.3,63.0,5.7,Europe
Rome,Nov,12.1,61.1,40.0,4.9,54.0,5.6,Europe
Rome,Dec,7.8,103.9,77.0,4.2,76.0,2.7,Europe
Vienna,Jan,17.8,92.9,64.0,2.3,53.0,1.4,Europe
Vienna,Feb,18.2,97.1,67.0,4.0,56.0,3.1,Europe
Vienna,Mar,17.8,41.8,77.0,5.6,49.0,2.0,Europe
Vienna,Apr,26.1,40.9,56.0,5.5,53.0,4.5,Europe
Vienna,May,25.9,86.9,93.0,6.8,41.0,6.3,Europe
Vienna,Jun,32.1,78.0,84.0,6.5,56.0,8.0,Europe
Vienna,Jul,35.4,81.1,85.0,7.0,72.0,8.3,Europe
Vienna,Aug,30.8,102.1,84.0,6.6,49.0,7.8,Europe
Vienna,Sep,29.9,65.9,78.0,7.3,68.0,6.7,Europe
Vienna,Oct,26.6,29.0,80.0,6.7,52.0,4.3,Europe
Vienna,Nov,20.2,27.3,62.0,4.8,38.0,3.5,Europe
Vienna,Dec,19.6,32.8,96.0,4.3,67.0,1.9,Europe
Warsaw,Jan,15.7,65.2,62.0,2.4,44.0,2.5,Europe
Warsaw,Feb,14.1,73.9,33.0,4.5,40.0,2.8,Europe
Warsaw,Mar,19.4,39.1,62.0,5.1,49.0,2.7,Europe
Warsaw,Apr,19.5,70.5,30.0,5.9,52.0,5.5,Europe
Warsaw,May,26.0,50.1,65.0,6.6,59.0,6.9,Europe
Warsaw,Jun,27.1,82.7,63.0,6.4,52.0,7.6,Europe
Warsaw,Jul,30.3,70.0,75.0,7.5,39.0,8.5,Europe
Warsaw,Aug,31.4,71.6,70.0,7.9,67.0,7.8,Europe
Warsaw,Sep,28.0,64.3,54.0,6.3,74.0,5.8,Europe
Warsaw,Oct,24.8,75.0,33.0,6.0,30.0,5.5,Europe
Warsaw,Nov,19.8,42.2,56.0,6.0,49.0,2.7,Europe
Warsaw,Dec,17.8,118.9,54.0,4.5,71.0,1.8,Europe
Bangkok,Jan,12.7,76.9,71.0,4.0,49.0,1.7,Asia
Bangkok,Feb,15.0,106.6,97.0,4.2,61.0,2.4,Asia
Bangkok,Mar,18.3,0.0,79.0,5.1,41.0,3.8,Asia
Bangkok,Apr,21.1,112.7,108.0,5.6,53.0,4.9,Asia
Bangkok,May,24.8,65.9,73.0,5.9,62.0,7.0,Asia
Bangkok,Jun,27.2,86.9,74.0,7.0,65.0,7.6,Asia
Bangkok,Jul,30.1,44.5,81.0,6.9,46.0,7.9,Asia
Bangkok,Aug,26.1,45.3,80.0,6.7,52.0,7.5,Asia
Bangkok,Sep,26.2,86.2,74.0,5.9,42.0,6.1,Asia
Bangkok,Oct,20.9,36.9,64.0,5.6,57.0,5.5,Asia
Bangkok,Nov,16.6,47.6,70.0,5.0,45.0,4.0,Asia
Bangkok,Dec,11.8,49.2,88.0,4.1,87.0,2.7,Asia
Singapore,Jan,5.4,57.6,61.0,3.5,48.0,1.9,Asia
Singapore,Feb,7.0,112.2,69.0,5.0,65.0,2.8,Asia
Singapore,Mar,11.5,71.8,45.0,4.9,65.0,3.5,Asia
Singapore,Apr,12.8,58.4,99.0,6.5,54.0,5.8,Asia
Singapore,May,18.4,8.9,60.0,7.2,52.0,6.3,Asia
Singapore,Jun,21.4,117.1,98.0,8.0,53.0,7.8,Asia
Singapore,Jul,20.7,104.3,56.0,7.1,42.0,7.5,Asia
Singapore,Aug,20.6,41.8,66.0,6.6,65.0,6.7,Asia
Singapore,Sep,19.3,96.5,66.0,6.1,52.0,7.4,Asia
Singapore,Oct,15.2,44.1,81.0,5.3,63.0,5.3,Asia
Singapore,Nov,10.5,34.8,61.0,5.3,70.0,3.0,Asia
Singapore,Dec,8.7,0.0,65.0,4.0,44.0,1.7,Asia
Lagos,Jan,5.3,0.0,80.0,2.7,60.0,1.0,Africa
Lagos,Feb,6.6,44.2,133.0,3.8,60.0,2.5,Africa
Lagos,Mar,7.1,83.0,115.0,5.3,100.0,1.8,Africa
Lagos,Apr,16.9,51.4,116.0,5.8,50.0,4.5,Africa
Lagos,May,18.8,14.5,123.0,6.3,41.0,6.1,Africa
Lagos,Jun,23.1,43.9,117.0,6.5,64.0,8.1,Africa
Lagos,Jul,25.1,54.7,122.0,7.0,71.0,7.4,Africa
Lagos,Aug,22.3,54.2,111.0,6.9,58.0,7.5,Africa
Lagos,Sep,18.6,107.3,127.0,6.9,50.0,5.8,Africa
Lagos,Oct,15.7,86.3,134.0,5.5,52.0,3.7,Africa
Lagos,Nov,9.7,89.9,105.0,5.3,53.0,3.8,Africa
Lagos,Dec,5.6,62.6,67.0,3.9,35.0,3.4,Africa
Nairobi,Jan,16.7,31.5,108.0,3.5,52.0,2.9,Africa
Nairobi,Feb,15.0,35.3,73.0,3.8,42.0,3.4,Africa
Nairobi,Mar,19.2,70.6,73.0,4.1,58.0,2.0,Africa
Nairobi,Apr,23.5,19.0,112.0,6.3,56.0,6.0,Africa
Nairobi,May,26.3,76.3,85.0,6.6,70.0,7.1,Africa
Nairobi,Jun,30.9,10.4,68.0,6.8,56.0,6.7,Africa
Nairobi,Jul,35.2,105.5,91.0,7.0,52.0,7.2,Africa
Nairobi,Aug,30.6,67.7,63.0,7.0,53.0,6.1,Africa
Nairobi,Sep,26.3,47.6,110.0,6.7,39.0,6.9,Africa
Nairobi,Oct,21.2,92.5,75.0,5.8,71.0,4.0,Africa
Nairobi,Nov,17.5,42.5,98.0,4.2,21.0,3.1,Africa
Nairobi,Dec,17.5,96.0,75.0,3.8,69.0,1.0,Africa
