UserID,Country,Platform,Genre,Weekly_Hours,Subscription_Fee,Age,Satisfaction_Score,Num_Shows_Watched,Device
28,Germany,CineFlow,Documentary,15.1,7.99,34,7.6,45,Laptop
29,Brazil,CineFlow,Action,6.2,10.99,29,7.5,19,SmartTV
30,Poland,NovaCast,Drama,4.0,10.99,41,8.3,5,Mobile
31,South Korea,CineFlow,Comedy,7.4,13.99,19,5.8,32,Tablet
32,Canada,StreamX,Animation,63.6,15.99,40,6.7,44,Laptop
33,South Korea,CineFlow,Documentary,3.6,13.99,60,7.8,1,SmartTV
34,Argentina,CineFlow,Sci-Fi,5.4,13.99,57,5.8,23,Tablet
35,France,StreamX,Documentary,11.4,13.99,40,5.6,37,Tablet
36,Netherlands,NovaCast,Comedy,8.4,13.99,33,7.4,8,Mobile
37,Argentina,StreamX,Comedy,8.0,13.99,55,6.7,13,Tablet
38,Canada,CineFlow,Documentary,30.4,10.99,23,7.1,8,Mobile
39,UK,NovaCast,Drama,5.4,13.99,54,8.9,23,Laptop
40,Egypt,CineFlow,Thriller,8.9,13.99,55,8.2,43,Mobile
41,Sweden,StreamX,Comedy,10.2,15.99,29,6.6,1,SmartTV
42,South Korea,StreamX,Documentary,5.6,7.99,47,7.6,45,Mobile
43,Spain,CineFlow,Animation,3.8,10.99,53,5.1,24,SmartTV
44,India,PrimeView,Documentary,10.6,10.99,48,4.1,35,Mobile
45,Sweden,PrimeView,Action,26.8,10.99,38,7.1,24,Tablet
46,Germany,StreamX,Thriller,11.5,13.99,30,7.9,17,Laptop
47,Netherlands,StreamX,Sci-Fi,9.5,13.99,48,8.7,5,SmartTV
48,Italy,PrimeView,Drama,9.5,13.99,40,8.8,20,Mobile
49,France,PrimeView,Romance,7.7,15.99,32,8.8,21,Mobile
50,Argentina,CineFlow,Sci-Fi,18.4,7.99,48,8.6,40,Mobile
51,India,CineFlow,Thriller,6.7,13.99,62,6.6,31,Tablet
52,France,PrimeView,Thriller,4.0,7.99,17,6.1,46,Tablet
53,UK,CineFlow,Thriller,3.5,15.99,29,6.6,36,SmartTV
54,Japan,CineFlow,Sci-Fi,9.5,10.99,55,6.8,11,SmartTV
55,Australia,NovaCast,Animation,17.1,13.99,55,7.6,15,Tablet
56,France,CineFlow,Thriller,10.4,7.99,54,4.8,19,SmartTV
57,Argentina,StreamX,Documentary,7.5,7.99,21,8.9,7,Laptop
58,Spain,CineFlow,Sci-Fi,11.9,13.99,21,5.8,28,Laptop
59,UK,CineFlow,Romance,10.1,10.99,18,6.3,43,Tablet
60,Australia,PrimeView,Thriller,14.8,10.99,22,7.4,5,SmartTV
61,France,StreamX,Documentary,20.0,10.99,23,7.1,5,Mobile
62,Netherlands,CineFlow,Animation,5.1,15.99,57,8.4,30,Laptop
63,Norway,CineFlow,Action,2.2,7.99,30,4.7,32,Tablet
64,Sweden,NovaCast,Animation,7.3,7.99,62,6.5,8,SmartTV
65,India,CineFlow,Romance,4.9,7.99,44,9.2,10,Tablet
66,Netherlands,CineFlow,Thriller,14.9,15.99,48,5.4,38,Mobile
67,India,NovaCast,Romance,5.8,7.99,45,6.3,47,Laptop
68,Norway,PrimeView,Sci-Fi,2.9,15.99,54,7.3,32,Tablet
69,Turkey,CineFlow,Comedy,6.4,10.99,42,7.6,48,Tablet
70,Argentina,NovaCast,Thriller,3.7,13.99,51,7.0,28,Tablet
71,Sweden,StreamX,Comedy,23.4,7.99,44,8.2,17,Mobile
72,Turkey,PrimeView,Documentary,12.0,7.99,53,7.5,31,Tablet
73,Canada,StreamX,Action,13.3,10.99,48,5.0,8,Mobile
74,Sweden,StreamX,Drama,12.4,13.99,52,5.3,40,Mobile
75,Turkey,NovaCast,Romance,14.9,15.99,42,7.6,25,Mobile
76,USA,CineFlow,Animation,17.8,13.99,48,6.6,9,Laptop
77,South Korea,NovaCast,Action,6.5,10.99,19,8.4,2,Laptop
78,Canada,NovaCast,Thriller,3.8,10.99,37,6.2,15,Tablet
79,USA,NovaCast,Comedy,5.4,13.99,17,8.5,3,Tablet
80,Spain,NovaCast,Animation,8.8,15.99,25,7.7,49,Laptop
81,India,PrimeView,Comedy,1.9,15.99,20,9.3,36,SmartTV
82,Mexico,CineFlow,Sci-Fi,17.9,7.99,25,7.2,4,Laptop
83,Poland,StreamX,Comedy,2.9,15.99,48,8.3,14,Mobile
84,Italy,StreamX,Sci-Fi,12.9,13.99,53,6.6,41,Laptop
85,India,CineFlow,Documentary,8.2,10.99,28,3.6,41,Mobile
86,Germany,StreamX,Animation,10.7,7.99,46,7.0,25,Tablet
87,Germany,CineFlow,Animation,6.8,7.99,62,6.1,10,SmartTV
88,USA,StreamX,Drama,10.3,10.99,51,6.5,21,Tablet
89,Brazil,NovaCast,Thriller,6.8,15.99,60,3.9,36,Mobile
90,Australia,StreamX,Sci-Fi,6.5,10.99,39,8.4,12,Mobile
91,South Korea,CineFlow,Drama,5.3,15.99,30,9.4,27,Mobile
92,Canada,CineFlow,Comedy,22.5,10.99,44,9.8,40,SmartTV
93,South Korea,CineFlow,Comedy,11.2,13.99,23,7.4,2,Laptop
94,Canada,CineFlow,Drama,10.2,15.99,20,6.4,13,Tablet
95,India,CineFlow,Animation,5.3,13.99,44,8.9,32,Tablet
96,Spain,PrimeView,Comedy,7.8,7.99,62,7.1,31,Laptop
97,UK,PrimeView,Romance,5.0,10.99,19,8.2,16,Tablet
98,USA,StreamX,Documentary,6.7,7.99,27,6.8,32,SmartTV
99,Norway,CineFlow,Documentary,4.4,7.99,60,5.8,32,Tablet
100,Brazil,StreamX,Romance,23.4,7.99,17,7.3,34,Mobile
101,Germany,CineFlow,Drama,5.7,7.99,42,8.3,11,Laptop
102,Spain,CineFlow,Romance,5.3,10.99,46,7.2,10,SmartTV
103,India,PrimeView,Sci-Fi,4.1,7.99,51,8.1,15,Laptop
104,Germany,PrimeView,Sci-Fi,5.7,10.99,51,8.3,17,SmartTV
105,USA,NovaCast,Drama,6.7,10.99,41,7.5,40,Mobile
106,Germany,PrimeView,Romance,8.8,13.99,58,8.5,18,Laptop
107,Brazil,NovaCast,Sci-Fi,6.1,15.99,42,8.1,9,Tablet
108,Sweden,NovaCast,Animation,3.5,15.99,20,7.2,25,SmartTV
109,Netherlands,NovaCast,Romance,3.6,10.99,35,9.3,40,Laptop
110,Germany,NovaCast,Animation,13.6,13.99,26,4.4,14,Tablet
111,USA,NovaCast,Sci-Fi,8.4,10.99,25,6.0,25,Laptop
112,Brazil,StreamX,Documentary,13.3,10.99,55,8.2,22,Laptop
113,Netherlands,PrimeView,Sci-Fi,14.4,10.99,53,9.5,30,Laptop
114,South Korea,NovaCast,Animation,9.9,13.99,21,6.8,20,SmartTV
115,Canada,CineFlow,Action,4.3,15.99,23,7.4,21,Tablet
116,Sweden,PrimeView,Thriller,10.1,13.99,38,5.6,44,Mobile
117,Sweden,PrimeView,Comedy,20.9,7.99,62,8.4,32,SmartTV
118,Australia,NovaCast,Romance,6.9,13.99,41,8.4,46,SmartTV
119,Turkey,StreamX,Action,11.1,13.99,61,8.3,49,SmartTV
120,Poland,NovaCast,Sci-Fi,9.0,13.99,58,7.7,21,Mobile
121,South Korea,StreamX,Documentary,20.6,13.99,27,8.7,35,Tablet
122,Italy,CineFlow,Drama,6.0,15.99,41,7.5,32,Tablet
123,Egypt,PrimeView,Sci-Fi,18.0,7.99,28,7.5,30,Tablet
124,France,CineFlow,Documentary,7.2,15.99,55,7.6,39,Laptop
125,Brazil,StreamX,Thriller,6.0,15.99,33,7.7,49,Laptop
126,South Korea,StreamX,Sci-Fi,9.6,13.99,40,6.2,12,Laptop
127,Turkey,CineFlow,Animation,11.1,10.99,48,5.9,41,Mobile
128,Sweden,StreamX,Drama,28.4,10.99,62,4.7,47,Laptop
129,Mexico,CineFlow,Documentary,10.9,15.99,55,5.5,18,Mobile
130,France,PrimeView,Documentary,10.1,15.99,58,7.4,21,Tablet
131,Turkey,CineFlow,Documentary,23.5,13.99,27,7.7,13,Laptop
132,South Korea,PrimeView,Thriller,12.9,15.99,59,4.5,21,Laptop
133,Poland,CineFlow,Sci-Fi,6.1,13.99,51,5.6,8,SmartTV
134,UK,StreamX,Thriller,20.4,10.99,63,6.2,46,Mobile
135,Australia,CineFlow,Romance,5.8,10.99,19,6.2,40,Tablet
136,Turkey,StreamX,Comedy,6.1,7.99,20,5.3,46,SmartTV
137,Japan,CineFlow,Comedy,5.4,10.99,52,6.1,7,SmartTV
138,Spain,CineFlow,Romance,5.1,15.99,23,6.5,23,Tablet
139,Spain,NovaCast,Sci-Fi,11.0,10.99,57,8.5,44,SmartTV
140,Egypt,StreamX,Animation,7.7,13.99,64,5.0,32,Mobile
141,Mexico,NovaCast,Thriller,1.1,10.99,43,7.6,11,Mobile
142,South Korea,StreamX,Drama,7.7,7.99,46,3.3,22,Laptop
143,USA,NovaCast,Documentary,6.6,10.99,24,6.9,22,SmartTV
144,USA,PrimeView,Documentary,15.4,13.99,44,9.0,43,Laptop
145,Egypt,CineFlow,Sci-Fi,6.4,13.99,29,3.2,25,SmartTV
146,Turkey,StreamX,Animation,41.4,15.99,55,6.8,22,Mobile
147,Canada,StreamX,Comedy,20.9,10.99,56,8.6,28,Mobile
148,Germany,CineFlow,Comedy,7.1,13.99,37,8.6,29,Mobile
149,South Korea,StreamX,Documentary,18.0,7.99,26,4.6,13,SmartTV
150,Japan,StreamX,Sci-Fi,12.4,15.99,38,7.5,18,Mobile
151,India,NovaCast,Thriller,10.4,7.99,16,7.0,2,SmartTV
152,Canada,StreamX,Comedy,14.6,10.99,61,5.0,29,Laptop
153,Brazil,PrimeView,Thriller,9.3,10.99,52,5.6,21,SmartTV
154,USA,PrimeView,Animation,10.4,10.99,36,6.7,15,Laptop
155,Poland,CineFlow,Comedy,14.8,15.99,41,7.8,27,SmartTV
156,Australia,StreamX,Comedy,30.9,13.99,61,7.3,31,Laptop
157,Spain,CineFlow,Action,10.5,15.99,51,5.1,15,Mobile
158,Sweden,PrimeView,Comedy,6.9,7.99,38,3.3,23,Laptop
159,Canada,StreamX,Romance,2.7,15.99,16,7.3,24,Mobile
160,Egypt,StreamX,Drama,29.3,7.99,55,7.6,44,Mobile
161,Italy,CineFlow,Romance,7.7,15.99,30,8.9,13,Laptop
162,Italy,PrimeView,Sci-Fi,12.4,13.99,36,3.9,22,SmartTV
163,Egypt,StreamX,Sci-Fi,28.3,7.99,62,5.6,43,SmartTV
164,Spain,CineFlow,Thriller,10.3,10.99,24,8.4,37,Tablet
165,South Korea,PrimeView,Romance,8.0,10.99,24,8.5,33,SmartTV
166,UK,CineFlow,Romance,21.2,15.99,25,9.4,3,Tablet
167,Germany,NovaCast,Romance,11.9,10.99,41,4.1,19,SmartTV
168,Italy,StreamX,Animation,12.8,7.99,56,8.0,23,SmartTV
169,Brazil,NovaCast,Comedy,3.6,10.99,50,7.7,29,Mobile
170,Italy,PrimeView,Drama,18.6,13.99,40,9.2,30,Tablet
171,Italy,NovaCast,Thriller,11.3,13.99,41,4.6,39,SmartTV
172,Italy,NovaCast,Romance,4.0,15.99,26,6.8,44,Tablet
173,UK,PrimeView,Romance,12.1,7.99,53,8.1,47,Mobile
174,UK,CineFlow,Action,2.6,13.99,17,8.0,25,Mobile
175,Brazil,NovaCast,Thriller,36.8,13.99,22,6.6,37,Tablet
176,USA,CineFlow,Romance,4.7,7.99,33,8.7,47,Mobile
177,USA,NovaCast,Thriller,23.7,10.99,42,4.2,8,Laptop
178,Poland,CineFlow,Comedy,5.5,10.99,49,4.3,42,Laptop
179,UK,PrimeView,Action,12.6,15.99,42,7.6,16,Mobile
180,Spain,NovaCast,Thriller,5.2,10.99,32,7.1,8,Laptop
181,Japan,PrimeView,Drama,16.4,7.99,58,8.3,1,SmartTV
182,France,NovaCast,Drama,7.8,13.99,59,7.4,44,Tablet
183,Mexico,PrimeView,Sci-Fi,11.9,10.99,39,6.1,5,SmartTV
184,Italy,PrimeView,Action,9.1,15.99,40,9.1,3,Tablet
185,Japan,NovaCast,Action,4.0,10.99,22,7.1,1,Mobile
186,Brazil,NovaCast,Sci-Fi,12.2,7.99,21,6.6,4,SmartTV
187,Egypt,NovaCast,Thriller,6.7,15.99,39,9.6,40,Mobile
188,UK,StreamX,Action,16.9,10.99,48,4.9,35,Mobile
189,Japan,CineFlow,Drama,7.8,15.99,64,6.9,32,Tablet
190,Mexico,StreamX,Drama,8.6,7.99,44,8.0,42,Tablet
191,Norway,StreamX,Romance,24.8,13.99,58,6.8,34,Tablet
192,Norway,PrimeView,Comedy,37.7,7.99,37,5.9,43,SmartTV
193,USA,NovaCast,Action,14.5,7.99,41,8.3,25,Laptop
194,Canada,CineFlow,Thriller,7.6,7.99,43,6.3,10,Tablet
195,Japan,PrimeView,Sci-Fi,7.2,7.99,36,8.6,21,Tablet
196,Norway,StreamX,Sci-Fi,5.5,13.99,64,4.9,46,SmartTV
197,Germany,NovaCast,Thriller,6.2,13.99,22,7.7,39,Tablet
198,Egypt,PrimeView,Animation,7.7,15.99,32,6.2,27,SmartTV
199,France,NovaCast,Documentary,29.3,10.99,35,7.9,27,Mobile
200,Poland,PrimeView,Comedy,8.0,13.99,56,8.7,2,Tablet
